track_number,datetime,center_lat,center_lon,total_precip,area,angle_of_movement
16118,2005-06-24 17:30:00,47.559,5.976,2291.181,495,36.691
16186,2005-06-25 09:30:00,45.825,8.009,100.736,33,58.327
16701,2005-06-30 19:30:00,45.352,8.318,90.033,19,63.528
17355,2005-07-07 16:30:00,46.203,10.544,314.698,84,50.677
18884,2005-07-22 17:30:00,46.338,14.199,773.716,215,196.431
19151,2005-07-25 14:30:00,47.605,13.868,596.227,212,74.499
19613,2005-07-30 16:30:00,48.897,13.653,929.539,258,27.031
21556,2005-08-20 05:30:00,46.392,9.588,1215.613,297,101.757
25059,2005-09-29 14:30:00,46.545,13.579,290.934,87,102.696
13331,2006-05-30 03:30:00,45.485,13.893,726.999,186,79.309
13964,2006-06-05 14:30:00,45.297,10.713,234.859,51,131.536
15330,2006-06-19 13:30:00,47.587,15.406,70.558,17,265.655
15570,2006-06-21 13:30:00,46.618,8.556,46.072,23,50.218
15677,2006-06-22 11:30:00,46.850,12.850,1.468,1,57.659
16092,2006-06-26 11:30:00,47.850,15.950,1.528,1,7.847
16160,2006-06-27 00:30:00,48.865,13.946,699.952,110,104.023
16237,2006-06-27 21:30:00,45.996,7.070,663.986,217,40.058
16310,2006-06-28 15:30:00,47.718,13.792,443.194,127,125.379
16321,2006-06-28 18:30:00,47.276,11.976,4.421,4,284.856
16355,2006-06-29 04:30:00,46.269,10.929,161.665,94,45.628
16899,2006-07-05 12:30:00,46.998,6.454,19.689,10,194.639
16980,2006-07-06 10:30:00,45.559,6.134,461.324,184,353.723
16991,2006-07-06 12:30:00,47.437,10.771,112.501,31,75.318
17027,2006-07-06 22:30:00,45.394,5.821,173.083,42,118.381
17530,2006-07-12 09:30:00,47.958,8.223,29.850,13,46.373
18947,2006-07-27 15:30:00,47.533,6.349,34.838,15,128.118
19029,2006-07-28 12:30:00,46.663,8.010,63.459,32,73.690
20353,2006-08-11 16:30:00,46.402,9.625,8.418,5,196.965
20952,2006-08-18 00:30:00,47.690,7.435,9546.778,1898,26.678
21194,2006-08-20 09:30:00,47.646,9.599,696.157,186,40.000
21607,2006-08-24 11:30:00,48.105,9.948,779.892,170,82.229
21675,2006-08-25 01:30:00,46.271,14.440,3546.718,516,97.045
21718,2006-08-25 14:30:00,45.118,12.772,106.724,38,205.631
21835,2006-08-26 17:30:00,45.898,8.550,17.149,2,123.763
22974,2006-09-07 15:30:00,47.342,13.345,1157.672,230,277.245
11197,2007-05-02 14:30:00,45.133,12.155,648.223,171,37.358
11456,2007-05-05 06:30:00,47.295,8.741,1175.315,323,222.060
12324,2007-05-14 13:30:00,45.522,10.778,14.221,12,22.211
13417,2007-05-25 11:30:00,46.257,12.845,47.647,17,338.377
13420,2007-05-25 12:30:00,46.078,7.946,14.964,3,223.040
15254,2007-06-11 12:30:00,46.139,10.115,25.949,14,75.684
15678,2007-06-15 10:30:00,46.078,11.980,144.686,47,82.317
16234,2007-06-20 12:30:00,47.273,14.808,4.450,4,331.483
16259,2007-06-20 18:30:00,47.684,11.159,2737.636,623,298.626
16295,2007-06-21 02:30:00,46.205,6.693,1212.934,316,351.199
16663,2007-06-24 22:30:00,47.957,11.492,182.452,51,68.831
18072,2007-07-10 14:30:00,46.074,12.056,12.936,8,206.186
18918,2007-07-19 14:30:00,46.579,6.387,248.808,87,324.435
