track_number,datetime,center_lat,center_lon,total_precip,area,angle_of_movement
15353,2003-06-24 14:30:00,46.464,15.490,94.162,41,293.555
16074,2003-07-02 00:30:00,52.883,20.387,4095.127,1070,15.407
16099,2003-07-02 07:30:00,53.625,23.980,3689.158,771,38.942
16126,2003-07-02 13:30:00,50.803,29.175,3019.960,737,81.341
17594,2003-07-16 10:30:00,53.165,22.498,24.607,11,3.949
17800,2003-07-18 14:30:00,52.312,22.622,10.358,7,267.334
18145,2003-07-22 05:30:00,51.607,16.902,231.058,50,37.338
18436,2003-07-25 07:30:00,47.554,19.842,504.178,161,63.354
18758,2003-07-28 11:30:00,49.383,20.301,626.915,125,351.061
18894,2003-07-29 12:30:00,52.391,22.091,281.805,86,336.157
20559,2003-08-15 12:30:00,47.139,26.247,243.104,88,51.313
20943,2003-08-19 13:30:00,50.282,25.890,1329.097,352,152.702
21871,2003-08-29 14:30:00,47.005,15.979,1245.025,459,293.319
11165,2004-05-03 10:30:00,52.024,21.617,184.104,36,105.277
11837,2004-05-10 14:30:00,52.591,16.091,2219.472,426,110.281
12769,2004-05-21 15:30:00,48.601,19.235,89.822,23,76.095
14052,2004-06-03 10:30:00,47.842,20.793,28.833,11,260.416
14692,2004-06-09 12:30:00,49.190,17.006,12.926,7,79.285
17558,2004-07-09 07:30:00,52.832,17.979,60.885,30,321.624
17624,2004-07-09 20:30:00,49.450,24.056,101.673,24,203.738
17651,2004-07-10 04:30:00,47.381,24.460,1747.280,385,94.553
17772,2004-07-11 00:30:00,50.794,28.599,784.797,196,14.950
18065,2004-07-13 18:30:00,48.671,28.960,414.257,137,104.988
18695,2004-07-19 09:30:00,50.179,17.701,8.940,6,67.671
19143,2004-07-23 10:30:00,46.969,25.484,214.431,82,146.184
19597,2004-07-27 12:30:00,54.013,26.185,1766.359,532,57.393
19741,2004-07-28 16:30:00,54.968,29.435,2313.802,505,39.039
19934,2004-07-30 09:30:00,50.896,29.984,16.730,9,71.339
20011,2004-07-30 23:30:00,46.817,26.951,727.599,143,62.107
20176,2004-08-01 09:30:00,49.376,27.746,1106.695,320,87.743
21361,2004-08-13 21:30:00,53.814,28.599,1675.023,410,59.097
22124,2004-08-22 11:30:00,53.502,29.750,2.382,2,97.418
22121,2004-08-22 11:30:00,49.726,28.440,70.314,26,196.557
22183,2004-08-23 04:30:00,47.210,29.861,502.712,69,313.201
22410,2004-08-25 20:30:00,47.896,17.840,28.153,17,209.383
22470,2004-08-26 14:30:00,49.435,24.965,614.255,139,37.047
22469,2004-08-26 14:30:00,53.607,25.510,2852.627,628,179.820
22537,2004-08-27 09:30:00,49.736,27.520,328.163,119,271.884
22756,2004-08-29 16:30:00,53.975,18.084,1127.263,288,85.778
22942,2004-08-31 12:30:00,54.654,27.247,58.545,28,248.560
22946,2004-08-31 14:30:00,50.238,25.391,260.308,41,53.271
10923,2005-05-03 15:30:00,49.943,19.461,4502.658,987,92.075
11021,2005-05-04 11:30:00,50.924,19.582,2207.193,596,94.060
12259,2005-05-17 10:30:00,51.299,20.464,595.473,140,61.468
12374,2005-05-18 13:30:00,46.682,19.676,17.118,9,32.607
12941,2005-05-24 10:30:00,54.970,22.441,743.781,143,15.922
12949,2005-05-24 11:30:00,47.109,23.924,513.680,124,215.403
12956,2005-05-24 12:30:00,49.447,26.274,319.292,140,204.249
13661,2005-05-30 19:30:00,53.554,21.883,975.465,370,94.115
13722,2005-05-31 08:30:00,48.622,24.500,108.795,26,150.769
14247,2005-06-05 12:30:00,49.080,26.423,117.058,27,218.555
14634,2005-06-09 13:30:00,47.375,22.975,449.273,148,311.589
14651,2005-06-09 19:30:00,49.339,26.652,189.022,58,342.370
15341,2005-06-16 11:30:00,51.708,24.222,223.790,75,299.131
15434,2005-06-17 07:30:00,52.094,29.872,220.074,52,54.725
17625,2005-07-10 12:30:00,50.633,16.566,1271.182,276,242.852
17701,2005-07-11 10:30:00,46.638,22.454,31.735,18,282.262
18114,2005-07-15 10:30:00,51.847,27.645,1057.716,276,227.028
19491,2005-07-29 12:30:00,52.175,18.173,1062.659,174,90.061
19701,2005-07-31 13:30:00,49.226,19.281,57.406,31,14.933
19786,2005-08-01 11:30:00,49.069,23.896,654.709,177,84.688
20047,2005-08-03 22:30:00,51.350,22.732,471.034,150,152.879
21083,2005-08-15 14:30:00,48.297,20.512,767.919,224,179.160
21312,2005-08-17 19:30:00,48.800,24.407,299.166,79,171.080
21374,2005-08-18 09:30:00,46.778,24.963,44.358,15,48.044
21758,2005-08-22 11:30:00,48.464,18.024,153.894,79,24.630
