track_number,datetime,center_lat,center_lon,total_precip,area,angle_of_movement
17687,2004-07-10 10:30:00,45.830,24.741,19.833,8,43.543
17965,2004-07-12 21:30:00,42.165,20.217,462.614,143,79.176
19479,2004-07-26 07:30:00,39.993,16.865,372.208,80,57.620
19493,2004-07-26 10:30:00,43.774,22.204,171.289,67,346.049
22059,2004-08-21 14:30:00,45.073,18.097,244.383,40,40.450
22488,2004-08-26 19:30:00,45.825,23.196,3016.641,508,59.041
22560,2004-08-27 13:30:00,42.774,25.203,731.666,205,49.124
25217,2004-09-24 19:30:00,44.128,16.441,2852.673,469,64.586
11041,2005-05-04 14:30:00,43.636,22.917,411.479,118,111.646
11277,2005-05-06 21:30:00,42.349,20.637,221.446,116,115.624
12013,2005-05-14 16:30:00,40.968,16.407,29.508,10,104.211
12902,2005-05-24 01:30:00,39.913,15.162,10.956,4,124.815
13519,2005-05-29 10:30:00,41.857,25.837,21.020,9,294.746
13775,2005-05-31 17:30:00,44.641,24.368,1857.143,547,179.841
13969,2005-06-02 11:30:00,39.674,21.342,202.792,49,9.185
14307,2005-06-06 02:30:00,43.156,18.116,571.295,268,116.565
16671,2005-06-30 12:30:00,43.880,20.059,278.466,83,107.279
16758,2005-07-01 11:30:00,43.776,19.080,303.262,94,88.573
16763,2005-07-01 12:30:00,42.672,25.988,52.203,27,85.977
16857,2005-07-02 09:30:00,44.888,24.951,852.767,282,197.527
17392,2005-07-08 00:30:00,44.027,16.249,297.932,78,347.651
17453,2005-07-08 17:30:00,42.571,22.310,167.273,57,53.125
17528,2005-07-09 12:30:00,44.489,17.680,457.876,106,68.980
17545,2005-07-09 17:30:00,44.888,20.164,2086.527,426,90.172
18552,2005-07-19 15:30:00,45.629,22.740,1758.984,275,77.422
18998,2005-07-23 22:30:00,42.930,16.478,365.275,104,92.166
19986,2005-08-03 09:30:00,39.410,14.950,3387.235,325,17.935
20007,2005-08-03 12:30:00,43.494,20.741,63.326,37,73.438
20016,2005-08-03 16:30:00,44.716,16.410,4110.181,848,71.035
20183,2005-08-05 08:30:00,45.295,24.240,14.501,7,355.936
20887,2005-08-13 15:30:00,42.983,23.639,64.606,22,76.628
20987,2005-08-14 13:30:00,44.797,23.848,236.330,56,157.519
21120,2005-08-15 19:30:00,44.926,21.430,852.734,175,76.528
21154,2005-08-16 00:30:00,43.266,22.679,19.453,8,10.486
21276,2005-08-17 12:30:00,44.222,24.552,1697.873,494,2.353
21702,2005-08-21 19:30:00,44.556,15.722,193.774,53,45.444
21872,2005-08-23 12:30:00,43.100,23.363,1197.783,291,53.187
23718,2005-09-14 05:30:00,41.582,22.518,333.449,118,82.176
24092,2005-09-18 16:30:00,43.716,17.839,248.928,53,17.286
24172,2005-09-19 14:30:00,45.882,25.969,381.663,91,201.871
25160,2005-09-30 16:30:00,40.873,21.822,93.243,21,292.097
25183,2005-09-30 21:30:00,40.643,22.804,26.149,7,58.492
25187,2005-09-30 22:30:00,39.493,19.456,2762.010,649,118.727
11201,2006-05-09 04:30:00,41.354,14.156,8.108,6,312.616
11251,2006-05-09 15:30:00,44.245,15.183,1413.823,270,111.925
12836,2006-05-25 10:30:00,42.079,24.327,11.306,9,91.863
13331,2006-05-30 03:30:00,45.485,13.893,726.999,186,79.309
13580,2006-06-01 20:30:00,43.661,22.284,2907.197,1225,333.382
13847,2006-06-04 12:30:00,43.584,24.884,319.827,98,11.182
14096,2006-06-06 21:30:00,42.413,17.962,135.882,79,91.507
14142,2006-06-07 09:30:00,41.687,23.319,2.383,2,334.293
14200,2006-06-08 01:30:00,40.638,24.536,46.789,14,154.782
15687,2006-06-22 13:30:00,43.358,21.212,523.885,92,282.667
15774,2006-06-23 08:30:00,45.240,23.958,50.426,17,192.798
15800,2006-06-23 15:30:00,41.260,22.333,789.595,247,141.237
16649,2006-07-02 13:30:00,42.278,24.061,706.600,280,238.897
17127,2006-07-08 04:30:00,39.443,18.475,110.454,10,135.892
17529,2006-07-12 09:30:00,45.780,25.877,38.157,17,345.967
17606,2006-07-13 09:30:00,43.298,20.129,81.788,29,33.071
18444,2006-07-22 10:30:00,45.985,22.785,29.008,12,345.148
19124,2006-07-29 11:30:00,43.270,19.225,25.824,13,328.965
19197,2006-07-30 09:30:00,42.418,22.955,24.833,12,262.503
19196,2006-07-30 09:30:00,45.126,25.704,194.358,60,20.017
19627,2006-08-03 22:30:00,44.936,15.995,371.723,142,81.235
19672,2006-08-04 11:30:00,45.607,22.711,600.429,147,59.294
19835,2006-08-06 10:30:00,41.857,14.449,373.387,106,219.601
20158,2006-08-09 14:30:00,40.940,18.060,161.781,51,226.498
20506,2006-08-13 07:30:00,38.504,15.067,406.202,47,352.610
21303,2006-08-21 10:30:00,44.584,17.254,356.116,117,152.181
21699,2006-08-25 09:30:00,43.699,18.110,112.601,36,15.947
21711,2006-08-25 11:30:00,43.709,18.201,1073.369,206,256.266
21749,2006-08-25 21:30:00,42.041,18.562,141.912,39,72.543
21812,2006-08-26 14:30:00,43.048,22.315,33.609,11,9.511
21976,2006-08-28 04:30:00,41.015,23.817,63.563,29,151.569
23879,2006-09-16 22:30:00,42.641,19.596,344.209,66,191.228
23911,2006-09-17 07:30:00,43.207,17.268,31.231,17,116.380
23971,2006-09-17 21:30:00,39.097,24.040,113.287,32,71.284
24061,2006-09-18 18:30:00,42.838,19.418,247.939,94,184.957
24480,2006-09-23 10:30:00,40.137,24.654,363.571,84,257.164
24517,2006-09-23 21:30:00,39.062,24.844,3267.693,760,17.982
24794,2006-09-26 21:30:00,41.285,17.463,369.545,94,145.992
24813,2006-09-27 03:30:00,40.650,18.356,1980.326,380,115.414
11072,2007-05-01 10:30:00,40.305,19.344,10.402,4,16.689
11460,2007-05-05 08:30:00,38.002,19.672,9.665,7,65.493
11500,2007-05-05 17:30:00,41.671,15.863,11.911,5,34.015
11589,2007-05-06 12:30:00,39.784,21.315,3.772,3,18.325
11626,2007-05-06 23:30:00,45.422,20.361,3131.671,938,72.446
11677,2007-05-07 10:30:00,42.486,20.390,159.751,80,89.058
12701,2007-05-18 11:30:00,43.434,24.052,389.364,57,2.237
12991,2007-05-21 10:30:00,43.468,24.648,321.424,85,342.658
13099,2007-05-22 09:30:00,43.640,18.838,25.196,12,7.057
13292,2007-05-24 08:30:00,39.816,21.952,97.909,35,184.424
13618,2007-05-27 10:30:00,43.241,23.644,70.942,41,88.849
13656,2007-05-27 18:30:00,39.525,14.062,769.577,318,172.044
13659,2007-05-27 19:30:00,41.110,15.894,1247.343,412,56.625
13705,2007-05-28 05:30:00,42.314,17.121,928.704,261,121.402
