time_minus12h,time_minus6h,time_0h,time_plus6h,time_plus12h,center_lat,center_lon,track_number,total_precip,area,wt
2004-07-07 12:30:00,2004-07-07 18:30:00,2004-07-08 00:30:00,2004-07-08 06:30:00,2004-07-08 12:30:00,48.74608,5.3795533,17431,675.563,498,
2004-08-02 23:30:00,2004-08-03 05:30:00,2004-08-03 11:30:00,2004-08-03 17:30:00,2004-08-03 23:30:00,44.932632,4.7106595,20440,45.774338,45,
2004-10-13 15:30:00,2004-10-13 21:30:00,2004-10-14 03:30:00,2004-10-14 09:30:00,2004-10-14 15:30:00,47.22281,4.571127,27037,500.28177,690,
2004-10-14 22:30:00,2004-10-15 04:30:00,2004-10-15 10:30:00,2004-10-15 16:30:00,2004-10-15 22:30:00,43.171738,5.4066014,27137,22.196697,44,
2004-11-03 20:30:00,2004-11-04 02:30:00,2004-11-04 08:30:00,2004-11-04 14:30:00,2004-11-04 20:30:00,44.48195,3.8771675,28946,607.7393,348,
2004-12-18 22:30:00,2004-12-19 04:30:00,2004-12-19 10:30:00,2004-12-19 16:30:00,2004-12-19 22:30:00,47.838135,3.5003555,33330,1115.657,319,
2004-12-25 20:30:00,2004-12-26 02:30:00,2004-12-26 08:30:00,2004-12-26 14:30:00,2004-12-26 20:30:00,44.405308,4.50568,34006,233.37924,557,
2005-02-10 17:30:00,2005-02-10 23:30:00,2005-02-11 05:30:00,2005-02-11 11:30:00,2005-02-11 17:30:00,47.29692,7.9867325,3772,964.03577,1247,
2005-04-18 02:30:00,2005-04-18 08:30:00,2005-04-18 14:30:00,2005-04-18 20:30:00,2005-04-19 02:30:00,45.56686,7.806444,9650,1024.7427,163,
2005-04-24 09:30:00,2005-04-24 15:30:00,2005-04-24 21:30:00,2005-04-25 03:30:00,2005-04-25 09:30:00,45.176353,4.7078495,10173,4289.0156,1489,
2005-05-02 23:30:00,2005-05-03 05:30:00,2005-05-03 11:30:00,2005-05-03 17:30:00,2005-05-03 23:30:00,47.592743,6.048699,10901,1984.9902,388,
2005-06-22 00:30:00,2005-06-22 06:30:00,2005-06-22 12:30:00,2005-06-22 18:30:00,2005-06-23 00:30:00,43.65,5.7910285,15915,1.4485242,12,
2005-06-24 00:30:00,2005-06-24 06:30:00,2005-06-24 12:30:00,2005-06-24 18:30:00,2005-06-25 00:30:00,45.75177,3.3185444,16107,167.59616,120,
2005-06-24 05:30:00,2005-06-24 11:30:00,2005-06-24 17:30:00,2005-06-24 23:30:00,2005-06-25 05:30:00,48.310875,5.055408,16118,1418.0731,717,
2005-06-24 21:30:00,2005-06-25 03:30:00,2005-06-25 09:30:00,2005-06-25 15:30:00,2005-06-25 21:30:00,45.8295,7.9928355,16186,106.08166,46,
2005-09-10 01:30:00,2005-09-10 07:30:00,2005-09-10 13:30:00,2005-09-10 19:30:00,2005-09-11 01:30:00,43.602253,5.4304805,23427,326.25027,78,
2005-11-28 07:30:00,2005-11-28 13:30:00,2005-11-28 19:30:00,2005-11-29 01:30:00,2005-11-29 07:30:00,45.2737,5.1792645,30714,334.85318,699,
2005-12-18 18:30:00,2005-12-19 00:30:00,2005-12-19 06:30:00,2005-12-19 12:30:00,2005-12-19 18:30:00,44.282845,7.051674,32505,15.390173,19,
2006-03-31 17:30:00,2006-03-31 23:30:00,2006-04-01 05:30:00,2006-04-01 11:30:00,2006-04-01 17:30:00,44.63357,4.4910274,7377,131.63107,151,
2006-04-04 02:30:00,2006-04-04 08:30:00,2006-04-04 14:30:00,2006-04-04 20:30:00,2006-04-05 02:30:00,46.649998,3.4499998,7694,0.0,9,
2006-04-10 00:30:00,2006-04-10 06:30:00,2006-04-10 12:30:00,2006-04-10 18:30:00,2006-04-11 00:30:00,47.19291,6.0944047,8311,186.72133,256,
2006-06-27 09:30:00,2006-06-27 15:30:00,2006-06-27 21:30:00,2006-06-28 03:30:00,2006-06-28 09:30:00,46.054806,7.1867743,16237,800.3572,797,
2006-07-05 00:30:00,2006-07-05 06:30:00,2006-07-05 12:30:00,2006-07-05 18:30:00,2006-07-06 00:30:00,47.020214,6.4477396,16899,26.786201,26,
2006-07-05 08:30:00,2006-07-05 14:30:00,2006-07-05 20:30:00,2006-07-06 02:30:00,2006-07-06 08:30:00,45.304123,3.7389708,16930,512.38824,402,
2006-07-05 22:30:00,2006-07-06 04:30:00,2006-07-06 10:30:00,2006-07-06 16:30:00,2006-07-06 22:30:00,45.770264,5.890941,16980,565.3261,801,
2006-07-27 03:30:00,2006-07-27 09:30:00,2006-07-27 15:30:00,2006-07-27 21:30:00,2006-07-28 03:30:00,47.525223,6.3610673,18947,37.226105,23,
2006-08-12 21:30:00,2006-08-13 03:30:00,2006-08-13 09:30:00,2006-08-13 15:30:00,2006-08-13 21:30:00,45.44837,4.140366,20517,6.682623,10,
2006-08-16 01:30:00,2006-08-16 07:30:00,2006-08-16 13:30:00,2006-08-16 19:30:00,2006-08-17 01:30:00,45.60026,4.400526,20807,3.2154348,14,
2006-09-10 00:30:00,2006-09-10 06:30:00,2006-09-10 12:30:00,2006-09-10 18:30:00,2006-09-11 00:30:00,46.873074,6.4653845,23266,0.0,13,
2006-09-15 02:30:00,2006-09-15 08:30:00,2006-09-15 14:30:00,2006-09-15 20:30:00,2006-09-16 02:30:00,44.722095,7.9662895,23761,1926.2788,520,
2006-12-02 07:30:00,2006-12-02 13:30:00,2006-12-02 19:30:00,2006-12-03 01:30:00,2006-12-03 07:30:00,44.475006,3.8179917,30921,12.824414,680,
