time_minus12h,time_minus6h,time_0h,time_plus6h,time_plus12h,center_lat,center_lon,track_number,total_precip,area,wt
2004-02-27 12:30:00,2004-02-27 18:30:00,2004-02-28 00:30:00,2004-02-28 06:30:00,2004-02-28 12:30:00,43.676292,9.548189,5254,450.60236,712,
2004-04-18 23:30:00,2004-04-19 05:30:00,2004-04-19 11:30:00,2004-04-19 17:30:00,2004-04-19 23:30:00,45.406506,10.300905,9834,223.56598,52,
2004-06-20 01:30:00,2004-06-20 07:30:00,2004-06-20 13:30:00,2004-06-20 19:30:00,2004-06-21 01:30:00,45.84947,12.570589,15726,850.77765,438,
2004-08-03 04:30:00,2004-08-03 10:30:00,2004-08-03 16:30:00,2004-08-03 22:30:00,2004-08-04 04:30:00,45.08652,9.463488,20452,290.5475,86,
2004-08-04 00:30:00,2004-08-04 06:30:00,2004-08-04 12:30:00,2004-08-04 18:30:00,2004-08-05 00:30:00,43.792507,12.883162,20531,134.45233,50,
2004-09-15 11:30:00,2004-09-15 17:30:00,2004-09-15 23:30:00,2004-09-16 05:30:00,2004-09-16 11:30:00,45.68824,9.683194,24370,522.0534,172,
2004-10-31 13:30:00,2004-10-31 19:30:00,2004-11-01 01:30:00,2004-11-01 07:30:00,2004-11-01 13:30:00,43.671436,10.498057,28633,118.42388,42,
2004-11-09 00:30:00,2004-11-09 06:30:00,2004-11-09 12:30:00,2004-11-09 18:30:00,2004-11-10 00:30:00,44.949383,9.594743,29474,317.35614,105,
2004-12-04 02:30:00,2004-12-04 08:30:00,2004-12-04 14:30:00,2004-12-04 20:30:00,2004-12-05 02:30:00,43.171185,11.142093,31947,5327.0103,1444,
2005-02-19 22:30:00,2005-02-20 04:30:00,2005-02-20 10:30:00,2005-02-20 16:30:00,2005-02-20 22:30:00,44.994644,11.6214285,4614,0.27540553,60,
2005-02-24 05:30:00,2005-02-24 11:30:00,2005-02-24 17:30:00,2005-02-24 23:30:00,2005-02-25 05:30:00,43.36568,12.93256,5021,75.7267,75,
2005-05-14 02:30:00,2005-05-14 08:30:00,2005-05-14 14:30:00,2005-05-14 20:30:00,2005-05-15 02:30:00,44.37796,12.931145,12005,238.50592,49,
2005-05-22 23:30:00,2005-05-23 05:30:00,2005-05-23 11:30:00,2005-05-23 17:30:00,2005-05-23 23:30:00,44.84095,9.438106,12834,474.70026,119,
2005-06-07 01:30:00,2005-06-07 07:30:00,2005-06-07 13:30:00,2005-06-07 19:30:00,2005-06-08 01:30:00,45.253433,11.56424,14438,155.48601,61,
2005-06-30 07:30:00,2005-06-30 13:30:00,2005-06-30 19:30:00,2005-07-01 01:30:00,2005-07-01 07:30:00,45.351536,8.332017,16701,95.969185,38,
2005-08-20 02:30:00,2005-08-20 08:30:00,2005-08-20 14:30:00,2005-08-20 20:30:00,2005-08-21 02:30:00,44.708153,8.32266,21583,306.4583,171,
2005-10-06 12:30:00,2005-10-06 18:30:00,2005-10-07 00:30:00,2005-10-07 06:30:00,2005-10-07 12:30:00,44.930836,11.432038,25782,485.91772,293,
2005-10-06 20:30:00,2005-10-07 02:30:00,2005-10-07 08:30:00,2005-10-07 14:30:00,2005-10-07 20:30:00,44.656155,12.523149,25810,135.41235,196,
2005-11-01 01:30:00,2005-11-01 07:30:00,2005-11-01 13:30:00,2005-11-01 19:30:00,2005-11-02 01:30:00,44.673332,11.497565,28241,1756.0802,555,
2005-11-05 06:30:00,2005-11-05 12:30:00,2005-11-05 18:30:00,2005-11-06 00:30:00,2005-11-06 06:30:00,44.352047,10.455316,28663,1832.8663,455,
2006-02-07 18:30:00,2006-02-08 00:30:00,2006-02-08 06:30:00,2006-02-08 12:30:00,2006-02-08 18:30:00,45.883606,8.621932,2969,91.16613,98,
2006-02-24 01:30:00,2006-02-24 07:30:00,2006-02-24 13:30:00,2006-02-24 19:30:00,2006-02-25 01:30:00,45.693233,10.28367,4258,1100.6227,5190,
2006-06-05 02:30:00,2006-06-05 08:30:00,2006-06-05 14:30:00,2006-06-05 20:30:00,2006-06-06 02:30:00,45.494637,10.341361,13964,179.23459,48,
2006-07-06 10:30:00,2006-07-06 16:30:00,2006-07-06 22:30:00,2006-07-07 04:30:00,2006-07-07 10:30:00,44.304688,9.231418,17027,23.576645,34,
2006-07-28 19:30:00,2006-07-29 01:30:00,2006-07-29 07:30:00,2006-07-29 13:30:00,2006-07-29 19:30:00,43.14789,10.045251,19106,69.36739,83,
2006-08-25 02:30:00,2006-08-25 08:30:00,2006-08-25 14:30:00,2006-08-25 20:30:00,2006-08-26 02:30:00,45.1311,12.786995,21718,111.216644,48,
2006-08-26 05:30:00,2006-08-26 11:30:00,2006-08-26 17:30:00,2006-08-26 23:30:00,2006-08-27 05:30:00,45.898846,8.547063,21835,17.31845,9,
2006-09-08 00:30:00,2006-09-08 06:30:00,2006-09-08 12:30:00,2006-09-08 18:30:00,2006-09-09 00:30:00,44.54092,12.107819,23058,156.6677,37,
2006-10-20 15:30:00,2006-10-20 21:30:00,2006-10-21 03:30:00,2006-10-21 09:30:00,2006-10-21 15:30:00,43.80274,8.472779,26872,2719.108,623,
2006-10-31 14:30:00,2006-10-31 20:30:00,2006-11-01 02:30:00,2006-11-01 08:30:00,2006-11-01 14:30:00,44.83522,12.446676,27863,817.3861,1478,
2006-12-17 00:30:00,2006-12-17 06:30:00,2006-12-17 12:30:00,2006-12-17 18:30:00,2006-12-18 00:30:00,44.516663,8.636667,32364,0.0,30,
2007-03-20 03:30:00,2007-03-20 09:30:00,2007-03-20 15:30:00,2007-03-20 21:30:00,2007-03-21 03:30:00,44.124897,12.990461,7024,724.00555,1542,
2007-05-02 02:30:00,2007-05-02 08:30:00,2007-05-02 14:30:00,2007-05-02 20:30:00,2007-05-03 02:30:00,45.135597,12.189155,11197,692.16187,343,
2007-05-14 01:30:00,2007-05-14 07:30:00,2007-05-14 13:30:00,2007-05-14 19:30:00,2007-05-15 01:30:00,45.63845,10.821597,12324,40.30137,160,
2007-05-26 21:30:00,2007-05-27 03:30:00,2007-05-27 09:30:00,2007-05-27 15:30:00,2007-05-27 21:30:00,43.650826,10.962164,13607,63.105747,74,
